seller;data;tipo;sku;quantity;nf;observ
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271735;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271730;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271722;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271720;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271718;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271717;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271709;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271705;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271703;
PURPOSE;22/11/2023;Saída;PL-2024-JN;2;244271938;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271936;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271931;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271789;
PURPOSE;22/11/2023;Saída;PL-2024-JN;1;244271788;
PURPOSE;22/11/2023;Saída;PL-2024-RN;1;244271910;
PURPOSE;22/11/2023;Saída;PL-2024-RN;1;244271905;
PURPOSE;22/11/2023;Saída;PL-2024-RN;1;244271895;
PURPOSE;22/11/2023;Saída;PL-2024-RN;1;244271888;
PURPOSE;22/11/2023;Saída;PL-2024-RN;3;244271879;
PURPOSE;22/11/2023;Saída;PL-2024-RN;1;244271874;
PURPOSE;22/11/2023;Saída;PL-2024-RN;1;244271736;
PURPOSE;22/11/2023;Saída;PL-2024-RN;1;244271715;
PURPOSE;22/11/2023;Saída;PL-2024-RN;1;244271708;
PURPOSE;22/11/2023;Saída;PL-2024-RN;1;244271702;
PURPOSE;22/11/2023;Saída;PL-2024-RN;1;244271915;
PURPOSE;22/11/2023;Saída;PL-2024-JD;1;244271880;
PURPOSE;22/11/2023;Saída;PL-2024-JD;1;244271875;
PURPOSE;22/11/2023;Saída;PL-2024-JD;1;244271870;
PURPOSE;22/11/2023;Saída;PL-2024-JD;1;244271732;
PURPOSE;22/11/2023;Saída;PL-2024-JD;1;244271707;
PURPOSE;22/11/2023;Saída;PL-2024-JD;1;244271704;
PURPOSE;22/11/2023;Saída;PL-2024-JD;1;244271939;
PURPOSE;22/11/2023;Saída;PL-2024-JD;1;244271925;
PURPOSE;22/11/2023;Saída;PL-2024-JD;1;244271892;
PURPOSE;22/11/2023;Saída;PL-2024-JD;1;244271790;
PURPOSE;22/11/2023;Saída;7060;1;244271736;
PURPOSE;22/11/2023;Saída;7060;1;244271718;
PURPOSE;22/11/2023;Saída;7060;1;244271709;
PURPOSE;22/11/2023;Saída;7060;1;244271705;
PURPOSE;22/11/2023;Saída;7060;1;244271704;
PURPOSE;22/11/2023;Saída;7060;1;244271702;
PURPOSE;22/11/2023;Saída;7060;1;244271936;
PURPOSE;22/11/2023;Saída;7060;1;244271915;
PURPOSE;22/11/2023;Saída;7060;1;244271790;
PURPOSE;22/11/2023;Saída;7060;1;244271789;
PURPOSE;22/11/2023;Saída;7060;1;244271788;
PURPOSE;22/11/2023;Saída;4020;2;244271934;
PURPOSE;22/11/2023;Saída;4020;2;244271932;
PURPOSE;22/11/2023;Saída;4020;1;244271910;
PURPOSE;22/11/2023;Saída;4020;1;244271907;
PURPOSE;22/11/2023;Saída;4020;1;244271905;
PURPOSE;22/11/2023;Saída;4020;1;244271899;
PURPOSE;22/11/2023;Saída;4020;1;244271898;
PURPOSE;22/11/2023;Saída;4020;1;244271897;
PURPOSE;22/11/2023;Saída;4020;1;244271895;
PURPOSE;22/11/2023;Saída;4020;1;244271791;
PURPOSE;22/11/2023;Saída;4020;2;244271748;
PURPOSE;22/11/2023;Saída;4020;1;244271738;
PURPOSE;22/11/2023;Saída;4020;1;244271735;
PURPOSE;22/11/2023;Saída;4020;1;244271732;
PURPOSE;22/11/2023;Saída;4020;1;244271720;
